index,dist_m,segment_dist_m,speed_m_s,target_m_s,pwm_l,pwm_r,angle_err_deg,angle_err_rad,radius_m
45,0.468,0.010000000000000009,0.685,0.9,858,333,-2.236,-0.03902556207459321,-0.25624230551467964
46,0.478,0.009999999999999953,0.699,0.9,746,256,-2.223,-0.038798669271833945,-0.257740798529384
47,0.489,0.01100000000000001,0.701,0.9,662,166,-2.84,-0.049567350756638956,-0.2219202727619388
48,0.499,0.010000000000000009,0.696,0.9,1225,680,-2.896,-0.05054473513775578,-0.19784454251754965
49,0.51,0.01100000000000001,0.686,0.9,354,221,-2.89,-0.05044001538263613,-0.21808082167609205
50,0.52,0.010000000000000009,0.686,0.9,1308,746,-1.854,-0.03235840433197487,-0.30903872445028246
51,0.53,0.010000000000000009,0.702,0.9,110,278,-2.175,-0.037960911230876665,-0.2634288713245167
52,0.541,0.01100000000000001,0.693,0.9,724,165,-1.584,-0.02764601535159018,-0.3978873577297387
53,0.551,0.010000000000000009,0.697,0.9,832,318,-1.221,-0.021310470166850764,-0.4692529034650481
54,0.562,0.01100000000000001,0.692,0.9,1076,530,-1.642,-0.02865830631774689,-0.38383287128130705
55,0.572,0.009999999999999898,0.688,0.9,771,224,-1.382,-0.024120450262561634,-0.4145859588500849
56,0.582,0.010000000000000009,0.694,0.9,371,167,-1.248,-0.021781709064889233,-0.4591007973804677
57,0.593,0.01100000000000001,0.704,0.9,830,326,-0.98,-0.01710422666954443,-0.6431158924937816
58,0.604,0.01100000000000001,0.707,0.9,250,260,-1.263,-0.02204350845268838,-0.49901312323349656
59,0.614,0.010000000000000009,0.698,0.9,628,112,-0.424,-0.007400196028455957,-1.3513155545538296
60,0.625,0.01100000000000001,0.701,0.9,879,345,-0.37,-0.006457718232379019,-1.7033880395781247
61,0.635,0.010000000000000009,0.716,0.9,311,197,-1.101,-0.019216075064457567,-0.5203976340879417
62,0.645,0.010000000000000009,0.707,0.9,359,145,-0.453,-0.007906341511534314,-1.26480749477003
63,0.655,0.010000000000000009,0.722,0.9,576,117,-0.152,-0.0026529004630313807,-3.7694591784922618
64,0.666,0.01100000000000001,0.729,0.9,172,288,-0.437,-0.0076270888312152205,-1.442227859597039
65,0.676,0.010000000000000009,0.723,0.9,133,323,-0.015,-0.0002617993877991494,-38.19718634205492
66,0.686,0.010000000000000009,0.718,0.9,324,147,0.076,0.0013264502315156904,7.5389183569845235
67,0.696,0.009999999999999898,0.719,0.9,334,123,-0.455,-0.0079412480965742,-1.2592479013864117
68,0.706,0.010000000000000009,0.723,0.9,250,229,-0.546,-0.00952949771588904,-1.0493732511553546
69,0.716,0.010000000000000009,0.715,0.9,489,42,-0.149,-0.0026005405854715507,-3.8453543297370723
70,0.726,0.010000000000000009,0.727,0.9,424,57,-0.189,-0.003298672286269283,-3.0315227255599138
71,0.736,0.010000000000000009,0.727,0.9,353,139,-0.588,-0.010262536001726658,-0.9744180189299723
72,0.746,0.010000000000000009,0.726,0.9,312,176,0.021,0.0003665191429188092,27.283704530039223
73,0.756,0.010000000000000009,0.72,0.9,639,134,0.26,0.004537856055185257,2.2036838274262447
74,0.767,0.01100000000000001,0.713,0.9,458,63,-0.168,-0.0029321531433504737,-3.751509372880393
75,0.777,0.010000000000000009,0.717,0.9,398,134,-0.146,-0.002548180707911721,-3.9243684598001627
76,0.787,0.010000000000000009,0.716,0.9,652,164,-0.032,-0.0005585053606381855,-17.90493109783824
77,0.797,0.010000000000000009,0.719,0.9,470,23,-0.096,-0.0016755160819145565,-5.96831036594608
78,0.808,0.01100000000000001,0.729,0.9,211,313,-0.49,-0.008552113334772215,-1.2862317849875633
79,0.818,0.009999999999999898,0.726,0.9,461,60,0.326,0.005689773361501515,1.7575392488675377
80,0.828,0.010000000000000009,0.728,0.9,497,4,-0.169,-0.002949606435870417,-3.3902828114249925
81,0.838,0.010000000000000009,0.723,0.9,312,169,-0.504,-0.008796459430051421,-1.1368210220849677
82,0.848,0.010000000000000009,0.714,0.9,362,136,0.215,0.0037524578917878084,2.6649199773526684
